2999.9985,1.8891
3000.0810,1.8704
3000.1635,1.8522
3000.2460,1.8348
3000.3285,1.8180
3000.4110,1.8022
3000.4935,1.7872
3000.5760,1.7729
3000.6585,1.7592
3000.7410,1.7461
3000.8235,1.7336
3000.9060,1.7215
3000.9885,1.7098
3001.0710,1.6985
3001.1535,1.6874
3001.2360,1.6765
3001.3185,1.6654
3001.4010,1.6541
3001.4835,1.6423
3001.5660,1.6299
3001.6485,1.6167
3001.7310,1.6028
3001.8136,1.5881
3001.8961,1.5727
3001.9786,1.5564
3002.0611,1.5394
3002.1436,1.5216
3002.2261,1.5028
3002.3087,1.4829
3002.3912,1.4618
3002.4737,1.4397
3002.5562,1.4165
3002.6387,1.3925
3002.7213,1.3678
3002.8038,1.3425
3002.8863,1.3166
3002.9689,1.2902
3003.0514,1.2634
3003.1339,1.2363
3003.2164,1.2089
3003.2990,1.1813
3003.3815,1.1539
3003.4640,1.1269
3003.5466,1.1003
3003.6291,1.0743
3003.7117,1.0488
3003.7942,1.0240
3003.8767,0.9999
3003.9593,0.9768
3004.0418,0.9546
3004.1244,0.9337
3004.2069,0.9140
3004.2895,0.8958
3004.3720,0.8790
3004.4546,0.8638
3004.5371,0.8498
3004.6197,0.8370
3004.7022,0.8254
3004.7848,0.8149
3004.8673,0.8055
3004.9499,0.7969
3005.0324,0.7891
3005.1150,0.7821
3005.1975,0.7758
3005.2801,0.7700
3005.3627,0.7646
3005.4452,0.7595
3005.5278,0.7544
3005.6104,0.7493
3005.6929,0.7442
3005.7755,0.7391
3005.8581,0.7337
3005.9406,0.7280
3006.0232,0.7221
3006.1058,0.7160
3006.1883,0.7096
3006.2709,0.7028
3006.3535,0.6956
3006.4361,0.6882
3006.5186,0.6804
3006.6012,0.6723
3006.6838,0.6640
3006.7664,0.6555
3006.8490,0.6467
3006.9315,0.6376
3007.0141,0.6282
3007.0967,0.6187
3007.1793,0.6087
3007.2619,0.5986
3007.3445,0.5885
3007.4271,0.5786
3007.5096,0.5691
3007.5922,0.5601
3007.6748,0.5516
3007.7574,0.5440
3007.8400,0.5373
3007.9226,0.5313
3008.0052,0.5262
3008.0878,0.5220
3008.1704,0.5185
3008.2530,0.5158
3008.3356,0.5139
